titulo,titulo_abreviado,link,precio_actual,precio_sin_descuento,criticas,calificacion,AmazonChoice,Date,porcentaje_de_descuento
Nokia 8.3 5G Android Unlocked Smartphone with 8/128 GB Memory  Quad Camera  Dual SIM  and 6.81-Inch Screen  Polar Night (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile/Mint/Ultra Mobile),Nokia 8.3 5G Android,/Nokia-Unlocked-Smartphone-6-81-Inch-T-Mobile/dp/B08JQRBWXH/ref=sr_1_14?dchild=1&keywords=smartphone&qid=1617939336&sr=8-14,666.47,699.0,88.0,4.3,False,8/4/2021,4.653791130185979
Vbestlife 6.26IN Face Unlock Smartphone  Dual Cards Dual Standby with Water Drop Screen 3G Unlocked Cell Phone  7731 Quad-core CPU  1+8G  for Android 6.0(Bronze),Vbestlife 6.26IN Fac,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A000781118I86CJNZI4DP&url=%2FVbestlife-Smartphone-Standby-Unlocked-Quad-core%2Fdp%2FB08PZ1GXKR%2Fref%3Dsr_1_48_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1617939348%26sr%3D8-48-spons%26psc%3D1%26smid%3DA3EQQ4ATJVLI3U&qualifier=1617939348&id=8505678985081689&widgetName=sp_mtf,108.99,108.99,17.0,0.0,False,8/4/2021,0.0
GVIEWIN Marble Cell Phone Ring Holder Finger Ring Stand  Kickstand Metal Grip Holder for Magnetic Car Mount Compatible with iPhone 12/11 Pro Max/SE 2020 and Other Smartphones (White/Gold),GVIEWIN Marble Cell ,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A037128616MGC2G7EGHET&url=%2FGVIEWIN-Kickstand-Magnetic-Compatible-Smartphones%2Fdp%2FB08BJVG22Y%2Fref%3Dsr_1_53_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1617939348%26sr%3D8-53-spons%26psc%3D1&qualifier=1617939348&id=8505678985081689&widgetName=sp_btf,13.99,13.99,0.0,0.0,False,8/4/2021,0.0
"Unlocked Cell Phones 5G WiFi 8 Core  Global 4G LTE  Unlocked Smartphone 6.5"" FHD Full Screen 2K  6GB RAM+64GB ROM Android 10 Cell Phone  16MP  Fingerprint Face Detection GPS  International Version",Unlocked Cell Phones,/Unlocked-Smartphone-Fingerprint-Detection-International/dp/B08KNXXG2V/ref=sr_1_52?dchild=1&keywords=smartphone&qid=1617939348&sr=8-52,140.99,140.99,22.0,3.5,False,8/4/2021,0.0
Unlocked Rugged Cell Phone  OUKITEL WP10 5G Smartphone 8000mAh 8+128GB Battery Andriod Mobile Phones 48MP Sony Camera IP68 Waterproof 6.67 Inch FHD+ Global Dual Sim NFC GPS Face Fingerprint ID(Black),Unlocked Rugged Cell,/Unlocked-OUKITEL-Smartphone-Waterproof-Fingerprint/dp/B08Z368RMZ/ref=sr_1_51?dchild=1&keywords=smartphone&qid=1617939348&sr=8-51,569.99,569.99,0.0,0.0,False,8/4/2021,0.0
LG V50 ThinQ 5G 128GB LM-V450 5G Smartphone (Renewed) (Black  Verizon),LG V50 ThinQ 5G 128G,/LG-LM-V450-Smartphone-Renewed-Verizon/dp/B08NM1CHG4/ref=sr_1_36?dchild=1&keywords=smartphone&qid=1617939343&sr=8-36,289.0,289.0,46.0,4.1,True,8/4/2021,0.0
Grefay Bike Phone Holder Motorcycle Handlebar Phone Holder Scooter Phone Mount with 360° Rotation for 3.5-6.5 inch Smartphone,Grefay Bike Phone Ho,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0299233280G6PEAHH72Y&url=%2FUniversal-Bicycle-3-5-6-5-Smartphone-Rotation%2Fdp%2FB01N6M0I9M%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1617939343%26sr%3D8-37-spons%26psc%3D1&qualifier=1617939343&id=3590493639467380&widgetName=sp_btf,15.99,15.99,0.0,0.0,True,8/4/2021,0.0
Blackview BV5500 Plus  Unlocked Rugged Smartphones  5.5 inch  3GB+32GB+128GB Expandable  4G LTE GSM  Android 10  NFC  face Unlock  WiFi Calling  Unlocked for at&t  Unlocked for tmobile (Black),Blackview BV5500 Plu,/Blackview-BV5500-Plus-Smartphones-Expandable/dp/B08P1LMHHT/ref=sr_1_50?dchild=1&keywords=smartphone&qid=1617939348&sr=8-50,129.99,129.99,9.0,4.3,False,8/4/2021,0.0
Xiaomi Mi 10T - Smartphone  6 GB + 128 GB  Dual Sim  Alexa Hands-Free  Grigio (Lunar Silver),Xiaomi Mi 10T - Smar,/Xiaomi-DotDisplay-Battery-Unlocked-Smartphone/dp/B08HJHP6Y6/ref=sr_1_49?dchild=1&keywords=smartphone&qid=1617939348&sr=8-49,435.98,435.98,408.0,4.5,False,8/4/2021,0.0
Blackview BL6000 Pro 5G Rugged Smartphones Unlocked  8GB + 256GB Waterproof Phones  6.36 inch FHD Smartphone  48MP Triple Camera  5280mAh 18W Fast Charging  NFC GPS  Global Version,Blackview BL6000 Pro,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A09566611G50UFY1ELBGB&url=%2FBlackview-BL6000-Pro-Smartphones-Waterproof%2Fdp%2FB08SMBFKMW%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1617939343%26sr%3D8-38-spons%26psc%3D1&qualifier=1617939343&id=3590493639467380&widgetName=sp_btf,599.99,599.99,5.0,0.0,True,8/4/2021,0.0
